,MW
20201215,3012
20201216,3020
20201217,3000
20201218,3047
20201219,3047
20201220,3616
20201221,3072
20201222,3199
20201223,3076
20201224,3545
20201225,3418
20201226,3066
20201227,2869
20201228,3135
20201229,3094
20201230,3118
20201231,3154
20210101,2767
20210102,2936
20210103,3037
20210104,3032
20210105,3067
20210106,3102
20210107,3102
20210108,3106
20210109,3201
20210110,2906
20210111,3093
20210112,3116
20210113,3114
20210114,3132
20210115,3309
20210116,3046
20210117,3034
20210118,3157
20210119,3158
20210120,3150
20210121,3074
20210122,3097
20210123,3203
20210124,3073
20210125,3269
20210126,3219
20210127,3064
20210128,3286
20210129,3203
20210130,3447
20210131,2906
2021/2/1,2938
2021/2/2,3045
2021/2/3,3006
2021/2/4,3132
2021/2/5,3060
2021/2/6,3066
2021/2/7,2763
2021/2/8,3047
2021/2/9,2880
2021/2/10,2888
2021/2/11,2833
2021/2/12,2992
2021/2/13,3024
2021/2/14,2911
2021/2/15,2645
2021/2/16,3002
2021/2/17,2824
2021/2/18,290.7
2021/2/19,2885
2021/2/20,2975
2021/2/21,3139
2021/2/22,2989
2021/2/23,3109
2021/2/24,3049
2021/2/25,3029
2021/2/26,3041
2021/2/27,2758
2021/2/28,2672
2021/3/1,2832
2021/3/2,3221
2021/3/3,3075
2021/3/4,3088
2021/3/5,3268
2021/3/6,2805
2021/3/7,2752
2021/3/8,3110
2021/3/9,3048
2021/3/10,3055
2021/3/11,3077
2021/3/12,3272
2021/3/13,3075
2021/3/14,2933
2021/3/15,3074
2021/3/16,3087
2021/3/17,3183
2021/3/18,3214
2021/3/19,3137
2021/3/20,2839
